CRIM,RM,AGE,DIS,TAX,PTRATIO,PRICE
0.51124,7.082,97.1,7.228,396.0,15.86,42.56
0.41799,5.846,50.7,4.4406,366.0,15.53,34.15
0.22289,6.11,23.1,8.1978,210.0,15.16,38.44
0.12075,6.125,22.5,3.5522,334.0,16.91,36.55
0.33828,6.789,51.0,1.1582,271.0,15.21,39.27
0.94297,5.952,32.8,9.4079,239.0,13.92,32.43
0.32388,6.14,21.9,7.8612,583.0,15.09,32.52
0.51927,6.304,80.5,9.3853,440.0,21.75,27.91
0.70332,6.093,56.7,1.4283,491.0,16.11,37.57
0.36427,5.777,43.1,10.2083,326.0,16.45,32.65
0.97181,6.097,92.0,7.8148,357.0,17.77,31.53
0.96248,6.537,29.3,7.1973,295.0,21.83,36.8
0.25253,5.487,96.5,7.8708,239.0,14.42,30.0
0.49775,6.066,45.1,10.5088,272.0,18.81,31.97
0.30158,5.65,91.1,7.4563,519.0,19.16,28.24
0.28556,6.598,68.2,7.3905,471.0,18.07,36.64
0.03785,5.238,86.1,11.8975,419.0,12.89,30.58
0.60995,5.721,98.7,9.324,390.0,18.77,29.69
0.50318,6.189,43.1,5.8652,569.0,12.64,35.37
0.05243,6.783,96.9,8.7814,229.0,17.96,37.76
0.27937,5.967,51.2,5.2815,312.0,19.4,33.69
0.90836,5.722,50.8,3.5176,340.0,14.11,32.41
0.24032,6.941,47.2,7.5654,513.0,20.42,35.41
0.14575,5.276,63.3,11.21,597.0,12.3,26.9
0.48996,4.901,32.3,11.2205,296.0,20.44,27.03
0.98566,6.22,64.3,4.761,550.0,16.6,31.96
0.24281,5.749,63.3,6.8045,532.0,14.18,37.03
0.67246,5.489,81.0,3.328,290.0,13.34,33.36
0.76186,6.354,86.7,11.9519,360.0,21.53,28.22
0.2384,6.122,55.2,11.7923,364.0,12.73,35.2
0.72849,5.718,44.2,8.1446,591.0,13.99,32.4
0.36842,5.36,40.7,9.8486,272.0,15.48,35.31
0.63267,6.436,35.6,8.8661,520.0,18.2,32.54
0.6339,6.325,24.6,7.5247,334.0,17.45,32.84
0.53624,5.95,47.4,1.5868,492.0,13.26,36.83
0.0912,6.923,41.6,6.0024,368.0,14.9,37.23
0.83547,5.465,97.3,8.4226,431.0,14.39,28.93
0.32146,5.237,64.6,8.4528,533.0,14.14,28.48
0.18733,5.654,47.8,5.1043,522.0,16.11,31.31
0.04173,5.977,66.4,11.3586,547.0,19.04,30.99
0.5913,6.122,31.1,2.8409,224.0,14.17,37.12
0.67789,5.879,55.5,6.504,477.0,15.67,31.94
0.01757,6.176,70.1,8.5997,256.0,15.91,35.5
0.51258,5.374,59.1,8.6685,366.0,21.76,27.87
0.22727,6.722,52.1,8.135,419.0,21.55,34.54
0.64553,5.959,99.5,4.0282,361.0,20.0,31.94
0.17519,6.559,90.4,2.7183,408.0,14.42,38.85
0.69125,6.171,69.9,7.9953,599.0,12.68,34.27
0.38735,6.228,65.6,7.5923,254.0,15.17,37.24
0.93679,6.285,69.7,2.9729,470.0,14.67,32.07
0.13838,6.224,36.1,8.7565,358.0,17.06,35.21
0.34173,6.321,51.6,6.0069,253.0,19.78,36.22
0.11436,6.665,23.2,8.3454,263.0,20.58,38.44
0.92477,6.098,58.0,10.211,580.0,20.45,27.84
0.87746,6.355,63.4,2.867,552.0,15.6,33.22
0.25868,5.955,38.2,1.2106,563.0,18.87,31.04
0.66032,6.72,97.1,9.5701,597.0,15.13,34.98
0.8174,5.662,92.8,7.7067,283.0,12.61,35.51
0.55565,6.9,77.8,8.696,342.0,19.02,35.4
0.53012,5.98,62.7,10.2197,468.0,12.1,35.8
0.24261,5.285,89.6,9.8309,394.0,16.09,28.91
0.09401,6.064,30.5,11.5701,367.0,15.29,34.48
0.89732,5.659,83.2,6.8953,343.0,18.93,29.65
0.90052,6.42,30.0,6.3735,438.0,19.66,35.76
0.63347,5.674,83.5,5.4208,430.0,15.04,32.3
0.33969,5.777,42.1,2.6906,265.0,20.12,37.76
0.34986,5.055,90.2,7.2987,389.0,14.94,26.87
0.72623,5.774,95.5,4.0471,421.0,16.46,32.43
0.89721,4.788,31.9,11.1344,428.0,19.27,24.33
0.8872,5.208,57.0,7.4151,284.0,18.93,27.36
0.7801,6.38,98.5,7.5212,497.0,21.87,30.12
0.64239,6.393,58.7,4.9042,210.0,14.25,38.95
0.08506,6.213,89.1,1.5719,342.0,18.62,40.14
0.16247,5.517,67.1,1.3492,512.0,18.1,29.68
0.89866,5.976,50.0,5.6567,426.0,21.15,28.7
0.60682,5.998,42.9,1.9302,304.0,13.56,37.74
0.01019,5.421,36.3,7.6753,478.0,19.52,24.79
0.10237,6.752,80.9,10.6907,427.0,17.68,34.85
0.66384,6.439,50.9,10.7121,518.0,14.75,34.67
0.00606,5.89,60.9,8.2495,494.0,16.74,33.25
0.16165,6.013,59.4,3.3236,444.0,15.34,36.37
0.54919,6.104,66.2,10.493,395.0,17.79,31.31
0.6922,4.979,89.2,10.747,253.0,20.89,25.45
0.65231,5.876,98.5,3.1632,305.0,17.69,31.04
0.22505,5.659,52.6,9.1117,368.0,18.32,28.69
0.71247,5.499,86.2,4.1517,440.0,17.19,30.35
0.23801,5.859,81.2,9.829,405.0,12.51,30.92
0.32607,6.899,65.9,11.9696,315.0,14.33,37.82
0.74674,6.32,96.5,1.3303,203.0,16.92,34.59
0.64998,5.714,36.0,10.871,398.0,15.1,33.56
0.84937,6.286,28.7,7.8489,314.0,13.82,41.13
0.65796,6.7,88.3,11.7072,494.0,17.04,31.12
0.56874,6.462,55.1,6.1151,210.0,15.23,34.73
0.09458,6.03,87.8,10.3213,434.0,14.58,32.52
0.36835,5.677,91.4,1.6863,577.0,16.64,30.06
0.26594,6.349,25.0,4.6881,270.0,13.33,40.0
0.24475,6.197,90.7,1.7372,389.0,21.28,31.37
0.97304,6.448,55.9,11.7288,237.0,20.68,33.62
0.3937,6.318,60.8,9.9867,450.0,19.08,33.27
0.89215,6.525,70.1,10.378,420.0,13.06,38.35
0.63151,5.732,94.1,11.3176,363.0,19.76,24.84
0.79502,6.659,21.5,1.9361,409.0,20.08,36.0
0.50313,6.099,58.1,5.2416,559.0,19.68,31.45
0.57733,7.038,75.0,1.7814,279.0,13.14,40.1
0.49303,5.655,77.8,3.3187,209.0,18.44,36.18
0.19605,6.868,75.4,3.523,545.0,20.34,33.38
0.72273,6.099,30.8,6.1602,431.0,17.77,33.7
0.28149,5.674,44.0,3.9542,556.0,18.46,31.44
0.02529,5.758,48.7,2.1108,439.0,16.58,32.03
0.64583,5.84,84.4,2.8424,524.0,17.29,27.2
0.17793,6.212,42.3,2.62,372.0,12.34,37.43
0.94052,6.261,36.9,11.7038,500.0,18.39,34.25
0.95397,5.713,96.6,9.3522,565.0,12.81,29.59
0.91495,5.988,20.7,11.6454,429.0,16.35,31.37
0.37079,7.071,99.8,5.8371,272.0,14.93,41.67
0.01644,6.864,74.1,4.0621,308.0,17.45,37.81
0.92839,6.218,86.3,9.7812,279.0,13.33,34.61
0.42876,6.019,43.6,4.5888,299.0,18.92,34.5
0.96669,6.06,21.1,4.2932,323.0,19.95,35.66
0.96366,6.307,79.0,3.5576,422.0,13.63,40.7
0.85316,5.489,86.7,2.4265,435.0,13.04,33.72
0.29515,5.871,79.2,3.8211,371.0,13.46,36.95
0.38571,5.166,31.4,4.9085,446.0,20.77,26.86
0.85129,6.2,80.3,8.4139,233.0,17.28,32.46
0.31761,6.324,81.5,1.6882,235.0,16.67,37.12
0.17032,5.758,72.7,3.3156,269.0,13.07,35.85
0.55724,6.787,81.3,9.8993,407.0,18.5,32.76
0.93622,5.387,87.7,2.6161,286.0,20.68,28.76
0.69633,5.268,69.1,4.7691,313.0,20.28,29.49
0.57049,6.112,27.1,10.5112,360.0,18.26,34.35
0.09808,6.524,59.0,2.7042,525.0,12.75,38.64
0.61539,6.842,26.2,1.9101,206.0,13.12,43.7
0.99006,5.771,52.6,6.3299,460.0,12.49,32.66
0.14094,6.539,52.6,4.3266,468.0,14.57,36.19
0.51881,5.981,25.3,7.1975,519.0,13.36,32.18
0.8775,5.914,47.9,9.8419,573.0,14.6,35.27
0.74103,6.442,28.9,2.5086,208.0,15.85,39.49
0.69732,6.326,84.7,7.3877,262.0,21.43,32.48
0.70278,5.212,95.8,6.5606,554.0,18.1,24.07
0.36013,6.738,25.8,2.5849,383.0,20.35,43.09
0.2943,6.69,96.4,7.864,426.0,19.1,31.88
0.80955,5.687,61.8,4.01,465.0,13.13,32.3
0.8103,6.198,44.0,6.3662,472.0,19.36,33.42
0.86721,6.247,26.1,1.905,573.0,14.75,36.73
0.91333,6.13,60.0,6.0554,599.0,18.39,32.91
0.51183,5.725,83.6,4.3711,488.0,15.41,35.02
0.50201,5.664,76.6,10.0462,315.0,21.98,29.63
0.7985,5.987,24.0,1.6268,552.0,14.64,32.54
0.65031,6.586,25.8,5.6047,220.0,14.79,39.6
0.70226,6.272,52.2,6.0427,292.0,21.31,34.27
0.796,5.815,43.6,8.9751,559.0,12.25,37.0
0.89012,6.386,38.6,7.3172,302.0,18.97,32.56
0.33866,4.576,42.5,8.3393,288.0,19.25,28.67
0.37621,6.574,84.3,9.5475,255.0,20.36,34.87
0.09489,5.13,94.3,10.4842,544.0,21.74,25.04
0.5787,5.819,52.4,4.4526,400.0,21.76,30.26
0.03691,5.44,92.5,6.9182,470.0,12.65,29.31
0.46613,5.353,45.7,10.2412,296.0,20.22,30.54
0.5431,6.58,58.1,11.884,503.0,18.46,34.56
0.28725,5.766,38.1,10.7847,504.0,18.47,32.06
0.59124,6.173,71.2,5.0861,325.0,13.28,36.5
0.03147,5.977,98.3,3.1468,364.0,18.5,31.2
0.03831,6.239,68.3,6.3833,284.0,21.82,29.98
0.82278,6.038,48.6,9.1581,591.0,21.12,30.66
0.36083,5.359,71.8,6.4183,458.0,16.39,30.25
0.12793,6.498,29.8,6.315,574.0,12.4,35.4
0.52272,5.753,91.1,10.2205,321.0,15.62,30.63
0.77022,5.222,60.2,4.9754,513.0,20.26,25.73
0.21661,5.786,55.9,10.4577,506.0,19.01,26.52
0.62327,6.75,66.9,5.4749,477.0,16.59,34.64
0.08626,6.425,70.0,4.6106,586.0,12.55,33.66
0.05263,5.826,25.7,5.9939,357.0,16.27,33.6
0.53182,5.825,74.6,9.3869,252.0,16.69,31.4
0.54109,5.839,39.4,2.386,469.0,21.29,27.68
0.63779,7.038,77.1,3.1606,492.0,18.41,40.85
0.72637,6.191,85.8,11.4659,430.0,15.12,35.37
0.97588,6.215,84.3,2.9304,283.0,17.25,33.46
0.51678,6.515,64.2,7.245,402.0,12.66,38.14
0.32363,6.119,61.6,7.3725,325.0,21.73,32.83
0.79539,5.87,31.4,6.3859,371.0,15.6,36.61
0.27156,5.902,82.0,8.0922,458.0,16.78,29.69
0.43953,5.964,41.7,3.5281,498.0,15.55,36.07
0.07938,5.981,59.7,7.0793,293.0,18.83,32.22
0.02633,6.364,42.7,5.0939,362.0,18.62,32.91
0.96269,6.026,30.7,8.2783,308.0,19.15,34.87
0.83614,6.366,70.4,2.5535,279.0,14.68,40.24
0.69628,5.96,24.3,7.2797,513.0,15.16,38.73
0.40954,6.039,79.9,3.038,564.0,13.25,31.32
0.17412,5.001,45.4,4.0651,348.0,18.56,30.38
0.15728,6.458,20.0,3.4058,501.0,12.4,37.9
0.25099,6.173,60.9,3.0112,559.0,17.98,34.3
0.54968,6.499,23.7,10.0828,538.0,20.7,29.82
0.71488,4.552,42.1,4.1428,273.0,20.91,23.6
0.66054,7.044,76.6,11.1984,583.0,16.49,33.73
0.28065,5.93,25.0,11.6692,351.0,16.59,33.78
0.95491,6.554,87.1,7.2839,336.0,12.77,36.2
0.73816,5.48,20.3,2.573,225.0,18.71,34.62
0.5548,6.306,39.7,5.12,394.0,20.21,36.05
0.61211,5.473,79.3,9.7751,244.0,14.45,33.26
0.42018,5.688,45.3,5.0413,299.0,16.21,37.01
0.24848,6.957,28.2,1.9572,327.0,20.39,39.79
0.35662,5.905,48.8,7.1246,524.0,20.77,27.4
0.75809,6.109,41.6,10.2963,550.0,14.43,35.87
0.01538,6.435,87.4,9.7552,321.0,17.51,33.42
0.11696,6.248,45.1,2.9264,543.0,13.92,37.67
0.04696,6.075,83.1,8.4004,543.0,13.02,36.39
0.04169,6.182,91.3,3.4255,506.0,21.11,31.76
0.85561,7.202,54.7,3.4003,259.0,20.21,36.57
0.70395,5.971,92.8,10.6148,476.0,19.6,27.2
0.4747,6.101,50.2,3.7464,578.0,12.49,37.63
0.09874,6.525,97.1,3.8957,473.0,20.44,32.6
0.49212,6.553,27.1,1.0072,333.0,16.38,39.14
0.474,6.594,75.0,10.5774,400.0,15.42,37.18
0.17403,6.319,59.5,9.7185,458.0,17.46,34.86
0.43442,5.428,51.0,7.9006,404.0,12.91,32.88
0.39911,6.817,70.6,9.2529,248.0,19.57,36.23
0.61623,5.427,76.3,2.6725,325.0,17.82,30.22
0.63546,6.151,20.3,6.0416,521.0,13.87,37.19
0.04626,5.623,33.4,4.8634,545.0,13.88,33.83
0.37524,5.968,77.0,2.0315,255.0,13.84,35.95
0.62623,6.164,73.3,6.3474,581.0,12.57,36.11
0.50363,6.161,97.3,11.1281,332.0,17.88,31.89
0.85663,6.211,80.9,1.4407,465.0,20.4,30.36
0.65903,6.807,96.1,4.2061,501.0,12.17,36.37
0.16377,6.227,76.2,3.283,525.0,12.49,33.66
0.0715,5.878,43.8,3.6196,578.0,17.73,31.13
0.64278,6.482,28.4,10.9928,325.0,20.19,37.16
0.02748,6.595,82.5,6.1488,543.0,15.27,33.58
0.58619,5.386,71.5,6.1293,253.0,15.5,32.36
0.94029,6.299,23.9,9.3663,482.0,17.96,32.32
0.5759,6.351,48.8,2.6994,497.0,14.74,35.6
0.38878,5.851,96.5,6.3599,471.0,12.27,30.03
0.64364,6.688,60.0,5.7298,301.0,19.35,36.05
0.45879,5.925,54.6,7.566,549.0,18.26,30.24
0.54607,6.063,56.6,11.9951,268.0,17.81,34.44
0.94152,5.913,36.7,9.4639,221.0,19.42,33.63
0.38672,6.008,49.5,5.3765,487.0,18.75,29.64
0.96123,5.452,49.6,10.1031,390.0,14.06,33.51
0.90545,5.28,24.2,2.8778,540.0,15.52,30.91
0.1966,6.797,81.4,1.3351,353.0,13.26,40.41
0.07029,5.577,53.3,3.2489,267.0,13.3,35.26
0.10168,5.504,85.8,4.7445,535.0,18.76,27.18
0.0192,4.923,88.0,6.6164,420.0,20.59,25.58
0.09535,5.681,37.0,7.7664,276.0,21.63,32.07
0.68332,5.338,72.6,11.0167,488.0,18.28,23.45
0.07212,6.821,57.8,6.6084,404.0,13.84,37.98
0.31966,6.505,90.4,6.514,442.0,13.06,35.89
0.84503,5.656,37.3,1.5527,384.0,20.13,32.04
0.02425,7.126,74.2,1.384,531.0,17.79,40.3
0.81465,6.491,68.6,7.0628,532.0,18.18,31.62
0.28257,5.838,43.6,5.82,484.0,19.81,29.84
0.11905,4.75,30.9,10.231,242.0,19.03,26.76
0.69704,7.145,72.1,2.7675,536.0,20.34,34.53
0.62931,5.305,79.1,1.2747,468.0,12.56,30.93
0.87759,5.177,45.3,5.9394,479.0,19.48,28.91
0.73534,6.511,71.6,3.6123,345.0,20.51,32.5
0.80368,7.22,51.6,1.5458,552.0,14.86,40.75
0.28275,6.692,77.1,8.9706,490.0,18.4,30.71
0.17826,6.282,35.9,2.2275,245.0,15.14,37.66
0.75086,6.297,91.2,7.6915,363.0,21.58,30.76
0.80703,6.427,43.0,4.0915,555.0,12.33,40.26
0.99051,6.379,49.4,2.9085,219.0,17.8,36.7
0.41321,6.141,24.6,5.1773,585.0,13.67,30.64
0.37265,6.052,28.9,9.8159,472.0,19.12,27.97
0.77664,5.969,61.3,5.313,453.0,13.76,34.21
0.34146,5.623,41.4,9.2585,308.0,14.35,34.82
0.93083,5.86,86.8,2.3803,300.0,16.94,34.04
0.85855,5.154,21.2,9.5005,577.0,21.15,25.79
0.42957,5.951,50.3,3.6063,319.0,14.12,38.38
0.75112,5.506,47.0,8.4513,510.0,13.44,30.15
0.75479,5.448,21.5,7.2236,357.0,19.59,32.2
0.10402,6.09,29.9,11.2206,256.0,17.01,31.93
0.90265,6.696,53.1,5.2605,204.0,21.12,34.97
0.50575,6.459,59.4,1.7278,418.0,13.47,34.39
0.82663,5.215,52.3,1.2107,590.0,18.46,27.17
0.32073,5.505,62.5,10.0954,348.0,14.33,31.73
0.89563,6.47,67.6,6.7721,343.0,13.57,37.53
0.38981,5.509,20.8,9.5277,338.0,18.83,31.15
0.01183,5.888,57.1,3.5787,408.0,17.94,31.1
0.90548,6.275,97.1,4.7959,376.0,19.55,32.13
0.0922,5.516,61.5,1.3311,552.0,15.09,28.36
0.31999,6.053,74.2,11.5764,402.0,16.48,35.03
0.95011,5.333,44.9,8.3465,403.0,16.05,29.51
0.95066,5.699,81.9,11.2653,255.0,21.84,27.86
0.57386,6.16,81.8,3.9205,593.0,14.92,36.06
0.63221,5.204,61.7,7.7261,300.0,14.95,28.35
0.449,6.22,98.1,8.4635,229.0,15.55,32.92
0.29392,5.99,30.0,4.493,465.0,17.65,31.34
0.32934,6.276,21.4,10.3292,438.0,14.52,35.73
0.67285,6.112,81.6,11.4188,366.0,21.15,31.12
0.75262,6.682,84.6,10.7334,369.0,14.66,37.81
0.79179,6.063,29.6,9.1297,514.0,20.96,35.73
0.78983,5.785,41.2,4.0521,278.0,13.03,31.69
0.09211,6.061,21.4,4.0978,528.0,18.57,34.45
0.49493,6.272,43.5,11.597,459.0,21.07,30.25
0.0585,6.024,81.9,1.1131,368.0,13.69,34.71
0.54998,6.02,61.4,8.8765,383.0,21.68,29.3
0.44209,5.649,47.8,8.7687,303.0,16.53,30.72
0.88782,5.669,49.7,7.8496,501.0,21.46,31.47
0.35156,5.299,20.1,11.8912,405.0,18.77,30.59
0.11795,6.875,44.0,4.4307,328.0,15.02,40.37
0.14385,5.378,71.7,4.7397,438.0,13.88,34.1
0.76175,5.654,97.9,1.8683,598.0,15.04,27.05
0.6186,5.641,87.8,5.8708,374.0,12.93,30.22
0.10202,6.447,21.9,3.8715,568.0,13.44,33.0
0.08502,5.853,91.9,4.7773,338.0,13.05,33.21
0.70127,6.624,82.7,10.1803,222.0,16.23,37.24
0.07369,5.663,82.4,11.2903,282.0,19.96,29.95
0.82204,6.139,56.6,3.0431,367.0,13.41,36.9
0.70654,5.582,51.8,5.0976,288.0,13.3,31.63
0.08227,7.073,44.2,11.2149,200.0,18.43,41.15
0.08575,5.406,25.3,1.6799,566.0,13.97,32.73
0.98665,6.155,38.3,2.016,538.0,12.98,37.33
0.3749,6.317,39.7,2.7907,497.0,13.67,33.06
0.37127,6.207,58.7,7.5473,267.0,21.24,33.91
0.81299,5.907,79.8,2.6552,248.0,20.21,30.24
0.9473,5.935,57.9,11.6488,227.0,15.54,33.3
0.98602,6.022,24.6,5.9139,490.0,18.56,33.58
0.75362,5.926,96.6,6.5167,572.0,17.37,29.83
0.37688,6.482,95.4,3.7132,372.0,18.77,32.81
0.08442,7.105,82.8,6.1806,248.0,18.83,38.88
0.77737,5.721,99.3,8.281,405.0,18.29,26.32
0.55885,5.315,63.6,9.2629,340.0,14.66,33.11
0.4248,5.956,97.0,9.2925,350.0,12.39,33.69
0.90645,7.29,26.0,7.3568,449.0,16.56,42.21
0.11209,5.598,49.3,10.948,487.0,20.91,26.89
0.49313,6.82,38.0,9.9915,244.0,17.69,37.38
0.01234,6.839,35.7,9.3275,214.0,20.32,36.42
0.46919,5.723,31.3,1.6117,598.0,21.92,30.93
0.05725,6.284,69.8,1.0757,293.0,13.64,36.91
0.1197,6.814,82.5,3.3369,222.0,18.92,39.48
0.11841,5.81,66.3,8.2988,276.0,18.74,31.45
0.64956,5.898,31.8,5.5232,216.0,21.8,29.09
0.7463,5.709,84.9,5.4265,357.0,21.86,27.9
0.58379,5.493,70.9,10.7305,521.0,18.87,24.9
0.96221,5.675,51.1,10.8512,336.0,14.44,32.68
0.3755,5.388,73.9,11.0009,378.0,19.99,25.18
